"","Date","Open","High","Low","Close","Volume","Adj.Close"
"1","2016-01-04",102.610001,105.849998,92.389999,97.339996,70329700,96.814659
"2","2015-12-01",118.75,119.860001,104.82,105.260002,43750400,104.691917
"3","2015-11-02",120.800003,123.82,111,118.300003,39491000,117.661545
"4","2015-10-01",109.07,121.220001,107.309998,119.5,52797300,118.348465
"5","2015-09-01",110.150002,116.889999,107.360001,110.300003,60620000,109.237122
"6","2015-08-03",121.5,122.57,92,112.760002,79152700,111.673416
"7","2015-07-01",126.900002,132.970001,119.220001,121.300003,50017800,119.589798
"8","2015-06-01",130.279999,131.389999,124.480003,125.43,41949200,123.661568
"9","2015-05-01",126.099998,132.970001,123.360001,130.279999,50251800,128.443192
"10","2015-04-01",124.82,134.539993,123.099998,125.150002,51396700,122.872284
"11","2015-03-02",129.25,130.279999,121.629997,124.43,53669600,122.165382
"12","2015-02-02",118.050003,133.600006,116.080002,128.460007,63081500,126.122047
"13","2015-01-02",111.389999,120,104.629997,117.160004,69419400,114.575516
"14","2014-12-01",118.809998,119.25,106.260002,110.379997,50681700,107.945068
"15","2014-11-03",108.220001,119.75,107.720001,118.93,44485400,116.306465
"16","2014-10-01",100.589996,108.040001,95.18,108,61083400,105.161575
"17","2014-09-02",103.059998,103.739998,96.139999,100.75,75318200,98.102119
"18","2014-08-01",94.900002,102.900002,93.279999,102.5,46746200,99.806122
"19","2014-07-01",93.519997,99.440002,92.57,95.599998,49633100,92.626732
"20","2014-06-02",633.959961,651.26001,89.650002,92.93,59829300,90.039772
"21","2014-05-01",592,644.169983,580.330017,633,74996300,87.616142
"22","2014-04-01",537.76001,599.429993,511.329987,590.089966,82044000,81.223129
"23","2014-03-03",523.419983,549,522.809998,536.73999,61552000,73.879753
"24","2014-02-03",502.610016,551.190002,499.300018,526.23999,82267500,72.434471
"25","2014-01-02",555.679993,560.200012,493.549988,500.599976,109889900,68.495255
"26","2013-12-02",558,575.140015,538.799988,561.02002,86672400,76.762306
"27","2013-11-01",524.02002,558.330017,512.380005,556.069946,69291000,76.085014
"28","2013-10-01",478.449982,539.25,478.279999,522.699951,88189400,71.103989
"29","2013-09-03",493.099976,507.919983,447.220001,476.749969,111138700,64.85331
"30","2013-08-01",455.749969,513.73999,453.259979,487.220032,94666300,66.277573
"31","2013-07-01",402.690002,457.339966,401.220001,452.529968,77966700,61.154831
"32","2013-06-03",450.72998,454.429993,388.869995,396.529999,94963100,53.587002
"33","2013-05-01",444.459991,465.75,418.899994,449.730042,111725300,60.776443
"34","2013-04-01",441.899994,445.25,385.100006,442.779999,132443500,59.443756
"35","2013-03-01",438,469.949982,419,442.660004,120246400,59.42765
"36","2013-02-01",459.109985,484.940002,437.660004,441.400024,127191400,59.258495
"37","2013-01-02",553.820007,555,435,455.48999,160032800,60.795773
"38","2012-12-03",593.650024,594.590027,501.230011,532.169983,159903000,71.03051
"39","2012-11-01",598.219971,603,505.75,585.279968,158585300,78.119278
"40","2012-10-01",671.159973,676.75,587.700012,595.320007,150628900,79.098083
"41","2012-09-04",665.76001,705.070007,656,667.100037,128080400,88.635239
"42","2012-08-01",615.910034,680.869995,600.25,665.23999,93636100,88.388107
"43","2012-07-02",584.730042,619.869995,570,610.76001,111571100,80.802612
"44","2012-06-01",569.159973,590,548.5,584,98539600,77.262306
"45","2012-05-01",584.900024,596.76001,522.179993,577.730042,131795600,76.4328
"46","2012-04-02",601.830017,644,555,583.97998,201314100,77.259659
"47","2012-03-01",548.169983,621.450012,516.219971,599.549988,185402000,79.31955
"48","2012-02-01",458.410004,547.610046,453.980011,542.440002,154007000,71.763985
"49","2012-01-03",409.399994,458.240021,409,456.47998,90644200,60.391602
"50","2011-12-01",382.540009,409.089996,377.679993,405,77216600,53.580879
"51","2011-11-01",397.410004,408,363.320007,382.199982,111543300,50.564472
"52","2011-10-03",380.369995,426.699982,354.23999,404.779999,161034800,53.551773
"53","2011-09-01",385.820007,422.860016,366.480011,381.320007,149108200,50.448051
"54","2011-08-01",397.779999,399.5,353.019989,384.830017,181143300,50.912422
"55","2011-07-01",335.950012,404.5,334.200012,390.47998,141081600,51.659904
"56","2011-06-01",348.869995,352.130005,310.5,335.670013,108940900,44.408627
"57","2011-05-02",349.73999,351.830017,329.420013,347.829987,87259700,46.017376
"58","2011-04-01",351.110016,355.130005,320.160004,350.130005,128252100,46.321663
"59","2011-03-01",355.470001,361.669983,326.259979,348.51001,125874700,46.107342
"60","2011-02-01",341.299988,364.899994,337.720001,353.210022,127618700,46.729145
"61","2011-01-03",325.640015,348.600006,324.840027,339.320007,140234700,44.891518
"62","2010-12-01",315.269989,326.660004,314.890015,322.559998,81440200,42.674194
"63","2010-11-01",302.220001,321.300018,297.76001,311.149994,119166000,41.164669
"64","2010-10-01",286.149994,319,277.769989,300.980011,150774800,39.819195
"65","2010-09-01",247.469986,294.730011,246.279999,283.75,149087000,37.539688
"66","2010-08-02",260.440002,264.279999,235.559998,243.100006,113748900,32.161758
"67","2010-07-01",254.300003,265.990021,239.600006,257.25,191879900,34.033783
"68","2010-06-01",259.690002,279.009979,242.199982,251.529999,197621600,33.277035
"69","2010-05-03",263.839996,267.880005,199.25,256.880005,236228300,33.984833
"70","2010-04-01",237.410004,272.459991,232.75,261.089996,153685600,34.541809
"71","2010-03-01",205.75,237.47998,205.449997,235.000015,136791600,31.090141
"72","2010-02-01",192.369995,205.169998,190.850006,204.619995,148467600,27.070913
"73","2010-01-04",213.429993,215.589996,190.25,192.059998,215986100,25.409245
"74","2009-12-01",202.23999,213.949997,188.680008,210.730011,133481400,27.879257
"75","2009-11-02",189.800003,208,185.570007,199.910004,110995500,26.447786
"76","2009-10-01",185.349991,208.709991,180.699997,188.5,155382900,24.938261
"77","2009-09-01",167.990005,188.899994,164.110001,185.349991,125344100,24.521521
"78","2009-08-03",165.210007,172.48999,159.419998,168.210007,100910200,22.253925
"79","2009-07-01",143.5,165,134.420013,163.389999,129144000,21.616247
"80","2009-06-01",136.470001,146.399994,132.880005,142.430008,148974900,18.843271
"81","2009-05-01",125.799995,135.899994,119.379997,135.809998,123920900,17.967455
"82","2009-04-01",104.089996,127.199997,103.889999,125.829994,146668700,16.647116
"83","2009-03-02",88.120003,109.980003,82.330002,105.120003,181757700,13.907215
"84","2009-02-02",89.100006,103,86.509995,89.309998,191764500,11.815577
"85","2009-01-02",85.880005,97.169998,78.199997,90.129997,234465200,11.924061
"86","2008-12-01",91.300003,103.599998,84.550003,85.349998,236606600,11.291674
"87","2008-11-03",105.93,111.790001,79.139999,92.669998,314700400,12.260098
"88","2008-10-01",111.919998,116.399994,85,107.589996,468331100,14.233993
"89","2008-09-02",172.399994,173.5,100.589996,113.659996,305883800,15.037044
"90","2008-08-01",159.899994,180.450012,152.910004,169.529999,162917200,22.428558
"91","2008-07-01",164.229996,180.910004,146.529999,158.950012,231673400,21.028843
"92","2008-06-02",188.600006,189.949997,164.150009,167.440002,239999900,22.152056
"93","2008-05-01",174.959991,192.23999,172,188.75,228552300,24.971334
"94","2008-04-01",146.300003,180,143.610001,173.949997,271892100,23.013319
"95","2008-03-03",124.440002,145.73999,118,143.5,296191700,18.984831
"96","2008-02-01",136.23999,136.589996,115.440002,125.020004,326517900,16.539955
"97","2008-01-02",199.269989,200.26001,126.139999,135.360001,434756700,17.907921
"98","2007-12-03",181.860001,202.959991,176.990005,198.079987,222400100,26.205681
"99","2007-11-01",188.600006,192.680008,150.630005,182.220001,326042700,24.107428
"100","2007-10-01",154.630005,190.119995,152.930008,189.949997,262077200,25.130095
"101","2007-09-04",139.940002,155,130,153.470001,283504200,20.303846
"102","2007-08-01",133.639999,139.650009,111.619995,138.480011,274322600,18.320692
"103","2007-07-02",121.049995,148.919998,119.299995,131.759995,306916200,17.431646
"104","2007-06-01",121.099991,127.610001,115.399994,122.040001,290683100,16.145706
"105","2007-05-01",99.590004,122.170006,98.550003,121.189995,212069700,16.033251
"106","2007-04-02",94.139999,102.5,89.599998,99.800003,175953100,13.203387
"107","2007-03-01",84.029999,96.830002,83.75,92.909996,187718200,12.29185
"108","2007-02-01",86.229996,90.810005,82.860001,84.610001,192655600,11.193773
"109","2007-01-03",86.290001,97.800003,81.900002,85.729996,350823100,11.341948
"110","2006-12-01",91.799995,92.329994,76.770004,84.839996,224590200,11.224202
"111","2006-11-01",81.099998,93.160004,77.790001,91.660004,175063900,12.126478
"112","2006-10-02",75.100006,82.599998,72.599998,81.080002,169198000,10.72676
"113","2006-09-01",68.479996,77.779999,67.82,76.979996,226592100,10.184336
"114","2006-08-01",67.220001,70,62.579998,67.849998,200677600,8.976451
"115","2006-07-03",57.52,68.630005,50.16,67.959999,229657200,8.991004
"116","2006-06-01",59.850002,63.100002,55.41,57.270004,212230900,7.576734
"117","2006-05-01",70.769997,73.800003,58.690002,59.77,191929000,7.907479
"118","2006-04-03",63.670002,72.050003,61.050003,70.389999,274727800,9.31249
"119","2006-03-01",68.839996,69.989998,57.669998,62.720001,260956400,8.29776
"120","2006-02-01",74.949997,76.459999,62.899998,68.489998,263522000,9.061122
"121","2006-01-03",72.380005,86.400002,70.870003,75.510002,284898900,9.989858
"122","2005-12-01",68.950005,75.459999,68.809998,71.889999,162957400,9.510938
"123","2005-11-01",57.240002,71.07,56.869999,67.82,167286900,8.972482
"124","2005-10-03",54.16,57.98,47.870003,57.590004,233146300,7.619069
"125","2005-09-01",47,54.560001,46.09,53.610001,153326200,7.092521
"126","2005-08-01",42.57,48.330002,42.02,46.889999,106562600,6.203475
"127","2005-07-01",36.829998,44.380001,36.290001,42.650002,133204000,5.64253
"128","2005-06-01",39.889999,40.760002,35.519997,36.810001,133472500,4.869907
"129","2005-05-02",36.209999,40.939999,33.110001,39.759998,157886900,5.260187
"130","2005-04-01",42.09,44.450001,34,36.060001,238656500,4.770683
"131","2005-03-01",44.989998,45.110001,38.830002,41.669998,174000600,5.512877
"132","2005-02-01",77.050003,90.879997,43.960003,44.860001,290796800,5.934909
"133","2005-01-03",64.779999,77.889999,62.599998,76.899994,342366700,5.086876
"134","2004-12-01",67.790001,67.949997,61.600002,64.400002,184400000,4.260011
"135","2004-11-01",52.5,69.57,52.040001,67.050003,219858600,4.435306
"136","2004-10-01",39.120003,53.200001,37.650002,52.400002,201245000,3.46622
"137","2004-09-01",34.299999,39.27,34.190002,38.75,96410900,2.563283
"138","2004-08-02",31.18,35.18,29.699999,34.489998,95317300,2.281487
"139","2004-07-01",32.099998,33.629997,28.74,32.34,118328600,2.139266
"140","2004-06-01",27.790001,34.190002,27.609999,32.540001,102384200,2.152496
"141","2004-05-03",26,28.780001,25.5,28.060001,68124900,1.856148
"142","2004-04-01",26.889999,29.58,25.49,25.779999,111865200,1.705327
"143","2004-03-01",24.099998,28.139999,23.599998,27.039999,130618300,1.788675
"144","2004-02-02",22.459999,24.099998,21.699999,23.92,70932400,1.58229
"145","2004-01-02",21.549999,24.84,21.18,22.560001,101413700,1.492327
"146","2003-12-01",21.039999,21.900002,19.25,21.370001,63958200,1.413609
"147","2003-11-03",22.83,23.299999,19.85,20.91,66450000,1.38318
"148","2003-10-01",20.709999,25.01,20.190001,22.889999,78895000,1.514156
"149","2003-09-02",22.66,23.32,20.150002,20.720001,67058400,1.370612
"150","2003-08-01",21,22.85,19.42,22.610001,54413300,1.495634
"151","2003-07-01",18.869999,21.57,18.51,21.08,62724200,1.394426
"152","2003-06-02",18.1,19.690001,16.630001,19.060001,75422400,1.260804
"153","2003-05-01",14.250001,19.01,14,17.950001,133265400,1.187379
"154","2003-04-01",14.2,14.95,12.72,14.22,98018000,0.940642
"155","2003-03-03",15.01,15.16,14.039999,14.139999,51012600,0.93535
"156","2003-02-03",14.41,15.299999,13.799999,15.01,56702600,0.9929
"157","2003-01-02",14.36,15.38,13.559999,14.36,76036400,0.949903
"158","2002-12-02",15.9,16.1,13.78,14.329999,56323400,0.947918
"159","2002-11-01",15.94,17.380001,15.01,15.499999,58439400,1.025313
"160","2002-10-01",14.59,16.440001,13.360001,16.07,75079000,1.063018
"161","2002-09-03",14.49,15.190001,14.049999,14.5,69119100,0.959164
"162","2002-08-01",15.110001,16.25,13.97,14.75,60740900,0.975701
"163","2002-07-01",17.709999,18.789999,13.799999,15.26,95785300,1.009437
"164","2002-06-03",23.389999,23.449999,15.98,17.719999,112223400,1.172164
"165","2002-05-01",24.290001,25.98,22.139999,23.299999,72064200,1.541277
"166","2002-04-01",23.379999,26.17,23,24.27,76179500,1.605442
"167","2002-03-01",21.93,25.299999,21.82,23.67,67837900,1.565752
"168","2002-02-01",24.34,25.98,20.940001,21.699999,109136300,1.435438
"169","2002-01-02",22.050001,24.73,20.25,24.719999,106950200,1.635209
"170","2001-12-03",21.059999,24.029999,20.09,21.900002,59595200,1.448668
"171","2001-11-01",17.65,21.549999,17.25,21.299999,67543500,1.408979
"172","2001-10-01",15.490001,19.42,14.830001,17.559999,84978200,1.161581
"173","2001-09-04",18.5,19.08,14.68,15.509999,98277200,1.025975
"174","2001-08-01",19.01,19.9,17.280001,18.550001,58111500,1.227068
"175","2001-07-02",23.639999,25.219999,17.85,18.789999,105834800,1.242944
"176","2001-06-01",20.130001,25.1,19.35,23.25,97067300,1.53797
"177","2001-05-01",25.41,26.700001,19.299999,19.949999,89901400,1.319677
"178","2001-04-02",22.09,27.119999,18.75,25.49,145672100,1.686144
"179","2001-03-01",17.8125,23.75,17.1875,22.07,127266000,1.459914
"180","2001-02-01",20.6875,21.9375,18,18.25,99105200,1.207224
"181","2001-01-02",14.875,22.5,14.4375,21.625,171906700,1.430477
"182","2000-12-01",17,17.5,13.625,14.875,118616300,0.98397
"183","2000-11-01",19.4375,23,16.125,16.5,110690100,1.091462
"184","2000-10-02",26.6875,26.75,17.5,19.5625,258996200,1.294044
"185","2000-09-01",61.3125,64.125,25.375,25.75,274232100,1.703343
"186","2000-08-01",50.3125,61.5,44.25,60.937504,65822600,4.030969
"187","2000-07-03",52.125,60.625,46.875,50.8125,73775800,3.361208
"188","2000-06-01",81.75,103.9375,50.3125,52.375,95776100,3.464566
"189","2000-05-01",124.874992,126.250008,81.75,84,116377900,2.778268
"190","2000-04-03",135.5,139.5,104.875,124.062508,117262900,4.10332
"191","2000-03-01",118.5625,150.375,114.000008,135.8125,98945500,4.491946
"192","2000-02-01",104,119.9375,97,114.625,96109300,3.791178
"193","2000-01-06",106.125,121.5,86.5,103.75,168093500,3.431491
